time,x,y,z,yaw,totalWeight,centroidCol,centroidRow,yawAngle
740036.0698979051,1.5903,-0.0015,-0.8687,-0.0000,2760,80.0,60.5,1.2000
740036.0698980208,1.5913,-0.0015,-0.8687,-0.0000,2760,80.0,60.5,1.2000
740036.0698981019,1.5923,-0.0015,-0.8686,-0.0000,2760,80.0,60.5,1.2000
740036.0698981714,1.5934,-0.0015,-0.8686,0.0000,2760,80.0,60.5,1.2000
740036.0698984722,1.5944,-0.0015,-0.8685,0.0000,2760,80.0,60.5,1.2000
740036.0698985532,1.5954,-0.0015,-0.8684,0.0000,2760,80.0,60.5,1.2000
740036.0698986227,1.5964,-0.0015,-0.8684,0.0000,2760,80.0,60.5,1.2000
740036.0698987037,1.5975,-0.0015,-0.8683,0.0000,2760,80.0,60.5,1.2000
740036.0698992014,1.5985,-0.0015,-0.8682,-0.0000,2760,80.0,60.5,1.2000
740036.0698992824,1.5996,-0.0015,-0.8682,-0.0000,2760,80.0,60.5,1.2000
740036.0698993518,1.6006,-0.0015,-0.8681,-0.0000,2760,80.0,60.5,1.2000
740036.0698994445,1.6016,-0.0015,-0.8680,-0.0000,2760,80.0,60.5,1.2000
740036.0698997686,1.6026,-0.0015,-0.8680,-0.0000,2760,80.0,60.5,1.2000
740036.0698998611,1.6037,-0.0015,-0.8679,-0.0000,2760,80.0,60.5,1.2000
740036.0698999653,1.6047,-0.0015,-0.8679,-0.0000,2760,80.0,60.5,1.2000
740036.0699000463,1.6057,-0.0015,-0.8678,-0.0000,2760,80.0,60.5,1.2000
